room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7239024,7988017,Private room,,Dorchester,47,5.0,2,1.0,100.0,1.0,42.292631,-71.05575,2016-07-16 20:02:37.267575
2794782,10273324,Private room,,Dorchester,38,4.5,2,1.0,65.0,4.0,42.282842,-71.071156,2016-07-16 17:45:37.547820
7874552,690922,Private room,,Beacon Hill,27,4.5,2,1.0,130.0,2.0,42.356948,-71.069871,2016-07-16 22:41:27.672338
13591091,47283683,Private room,,Beacon Hill,0,,2,1.0,189.0,3.0,42.359932,-71.069615,2016-07-16 17:59:07.183125
9685085,16186589,Private room,,Dorchester,3,5.0,1,1.0,35.0,1.0,42.288511,-71.069634,2016-07-16 19:25:22.045288
13546414,30342817,Private room,,Dorchester,3,4.5,5,1.0,75.0,1.0,42.316664,-71.057545,2016-07-16 22:14:24.769493
526970,85770,Private room,,South End,95,4.5,2,1.0,130.0,1.0,42.34523,-71.072823,2016-07-16 20:32:38.032340
3589869,848964,Private room,,Dorchester,3,4.5,2,1.0,80.0,1.0,42.285509,-71.068632,2016-07-16 20:24:52.447082
8428052,33294128,Private room,,Beacon Hill,2,,2,1.0,195.0,1.0,42.36066,-71.066726,2016-07-16 21:38:53.254443
6686224,25700968,Private room,,Downtown,19,4.5,1,1.0,125.0,1.0,42.351922,-71.06568,2016-07-16 18:28:04.261505
27546,119019,Private room,,Dorchester,169,4.5,3,1.0,55.0,1.0,42.298946,-71.06001,2016-07-16 22:45:52.105106
7246272,19250407,Private room,,Dorchester,29,4.5,2,1.0,98.0,1.0,42.317756,-71.061677,2016-07-16 18:07:13.425946
177129,847253,Private room,,Dorchester,123,4.5,3,1.0,69.0,2.0,42.293428,-71.067731,2016-07-16 21:42:39.599640
179244,119019,Private room,,Dorchester,80,4.5,2,1.0,70.0,1.0,42.297805,-71.058928,2016-07-16 17:20:13.473052
6444303,1651480,Private room,,South End,19,5.0,2,1.0,217.0,2.0,42.341795,-71.075664,2016-07-16 19:43:46.727307
1732804,9090219,Private room,,Dorchester,55,5.0,2,1.0,85.0,1.0,42.290407,-71.058535,2016-07-16 20:18:24.715483
1899770,2120544,Private room,,South End,7,5.0,2,1.0,125.0,2.0,42.340245,-71.076636,2016-07-16 21:31:39.341172
13521992,47283683,Private room,,Beacon Hill,0,,2,1.0,169.0,1.0,42.358367,-71.069829,2016-07-16 19:27:09.058078
5433246,28184185,Private room,,South End,4,5.0,2,1.0,100.0,1.0,42.339769,-71.077039,2016-07-16 22:40:20.789710
13915265,32529388,Private room,,Downtown,1,,2,1.0,120.0,1.0,42.365307,-71.059511,2016-07-16 19:56:13.456044
7450420,16680705,Private room,,South End,1,,1,1.0,110.0,1.0,42.337951,-71.069225,2016-07-16 19:28:30.367180
13415232,4597875,Private room,,Dorchester,2,,2,1.0,75.0,1.0,42.308382,-71.050949,2016-07-16 18:31:18.760457
13687764,6105673,Private room,,Dorchester,0,,2,1.0,60.0,1.0,42.31826,-71.057933,2016-07-16 18:11:49.976514
625012,3100734,Private room,,South End,123,5.0,2,1.0,250.0,2.0,42.347071,-71.07247,2016-07-16 19:30:40.361675
9494511,15583990,Private room,,Dorchester,20,4.5,2,1.0,59.0,1.0,42.288807,-71.061408,2016-07-16 19:43:06.968117
2846739,85770,Private room,,South End,91,4.5,1,1.0,125.0,1.0,42.346233,-71.073639,2016-07-16 18:58:08.938779
12857981,64824435,Private room,,Dorchester,1,,2,1.0,48.0,1.0,42.302353,-71.065605,2016-07-16 17:56:31.758495
8193344,43217109,Private room,,South End,22,5.0,2,1.0,125.0,2.0,42.336043,-71.075333,2016-07-16 22:43:05.220669
11376403,16186589,Private room,,Dorchester,3,4.5,1,1.0,35.0,10.0,42.304204,-71.071184,2016-07-16 20:47:13.347573
12585455,66497629,Private room,,North End,20,5.0,4,1.0,157.0,1.0,42.365375,-71.057165,2016-07-16 18:54:23.892873
225224,85770,Private room,,South End,175,4.5,1,1.0,98.0,1.0,42.346428,-71.07503,2016-07-16 21:37:18.426292
11907764,34532779,Private room,,Roxbury,21,4.0,4,1.0,84.0,1.0,42.32296,-71.069854,2016-07-16 17:55:41.754440
1821633,7799789,Private room,,Dorchester,109,5.0,2,1.0,100.0,1.0,42.309261,-71.047537,2016-07-16 23:14:22.690932
